rank,word,count,occurrence_percentage,cumulative_percentage
453,"dar",92706,0.02243263,69.25989996
454,"vivir",92629,0.02241400,69.28231396
455,"posible",92449,0.02237044,69.30468441
456,"ok",92398,0.02235810,69.32704251
457,"hermana",92291,0.02233221,69.34937472
458,"número",92183,0.02230608,69.37168080
459,"meses",92062,0.02227680,69.39395759
460,"exactamente",91598,0.02216452,69.41612212
461,"culpa",91506,0.02214226,69.43826438
462,"abajo",91298,0.02209193,69.46035631
463,"escuela",90725,0.02195328,69.48230958
464,"ido",90670,0.02193997,69.50424955
465,"fuerte",90226,0.02183253,69.52608208
466,"diciendo",90048,0.02178946,69.54787154
467,"habla",90023,0.02178341,69.56965495
468,"esté",89826,0.02173574,69.59139069
469,"ello",89741,0.02171517,69.61310586
470,"pregunta",89617,0.02168517,69.63479103
471,"chicas",89467,0.02164887,69.65643990
472,"eran",89418,0.02163701,69.67807691
473,"unas",89043,0.02154627,69.69962318
474,"pasando",88887,0.02150852,69.72113171
475,"atrás",88877,0.02150610,69.74263781
476,"malo",88555,0.02142819,69.76406600
477,"capitán",88550,0.02142698,69.78549298
478,"sra.",88400,0.02139068,69.80688366
479,"bebé",88307,0.02136818,69.82825184
480,"segundo",88232,0.02135003,69.84960187
481,"sabemos",87714,0.02122469,69.87082656
482,"mayor",87707,0.02122299,69.89204955
483,"comida",87661,0.02121186,69.91326141
484,"morir",87614,0.02120049,69.93446190
485,"conozco",87429,0.02115572,69.95561763
486,"dame",87200,0.02110031,69.97671794
487,"fácil",87099,0.02107587,69.99779381
488,"comer",86671,0.02097231,70.01876611
489,"vino",86406,0.02090818,70.03967430
490,"lista",86033,0.02081792,70.06049222
491,"haga",85884,0.02078187,70.08127409
492,"necesitas",85706,0.02073880,70.10201289
493,"hijos",85020,0.02057280,70.12258569
494,"probablemente",84911,0.02054643,70.14313212
495,"padres",84855,0.02053288,70.16366500
496,"habitación",84704,0.02049634,70.18416134
497,"creer",84624,0.02047698,70.20463832
498,"pensando",84438,0.02043197,70.22507029
499,"fueron",84181,0.02036979,70.24544008
500,"dime",84079,0.02034510,70.26578518
501,"trata",83906,0.02030324,70.28608842
502,"buscando",83655,0.02024251,70.30633093
503,"tuve",83608,0.02023113,70.32656206
504,"tampoco",83595,0.02022799,70.34679005
505,"amo",83156,0.02012176,70.36691181
506,"joven",82919,0.02006441,70.38697622
507,"podrías",82328,0.01992140,70.40689762
508,"sola",82229,0.01989745,70.42679507
509,"par",81901,0.01981808,70.44661315
510,"única",81808,0.01979558,70.46640873
511,"hacen",81807,0.01979533,70.48620406
512,"seguir",81723,0.01977501,70.50597907
513,"dr.",81308,0.01967459,70.52565366
514,"simplemente",80350,0.01944278,70.54509643
515,"dicen",80310,0.01943310,70.56452953
516,"medio",80278,0.01942535,70.58395488
517,"puta",80176,0.01940067,70.60335555
518,"saben",79988,0.01935518,70.62271073
519,"sentido",79686,0.01928210,70.64199283
520,"hagas",79398,0.01921241,70.66120525
521,"segura",79393,0.01921120,70.68041645
522,"esperar",79115,0.01914393,70.69956039
523,"lejos",79091,0.01913813,70.71869851
524,"arma",78974,0.01910982,70.73780833
525,"alto",78496,0.01899415,70.75680248
526,"pequeña",78191,0.01892035,70.77572283
527,"dólares",77319,0.01870935,70.79443218
528,"seis",77064,0.01864764,70.81307982
529,"estaban",76916,0.01861183,70.83169165
530,"seguridad",76807,0.01858545,70.85027710
531,"maldita",76765,0.01857529,70.86885239
532,"estuvo",76639,0.01854480,70.88739719
533,"preocupes",76606,0.01853682,70.90593401
534,"palabra",76589,0.01853270,70.92446671
535,"esperando",76353,0.01847560,70.94294231
536,"queda",76150,0.01842648,70.96136879
537,"oficina",75697,0.01831686,70.97968565
538,"matar",75652,0.01830597,70.99799162
539,"iré",75521,0.01827427,71.01626589
540,"cama",75441,0.01825491,71.03452081
541,"además",75259,0.01821088,71.05273168
542,"último",75205,0.01819781,71.07092949
543,"oído",75123,0.01817797,71.08910746
544,"habría",74848,0.01811142,71.10721888
545,"estará",74836,0.01810852,71.12532740
546,"dio",74745,0.01808650,71.14341390
547,"recuerdo",74344,0.01798947,71.16140336
548,"siendo",74265,0.01797035,71.17937371
549,"acerca",74051,0.01791857,71.19729228
550,"tenga",73994,0.01790478,71.21519706
551,"luz",73886,0.01787864,71.23307570
552,"correcto",73881,0.01787743,71.25095313
553,"ud.",73708,0.01783557,71.26878870
554,"demonios",73485,0.01778161,71.28657031
555,"nuestras",73354,0.01774991,71.30432022
556,"verte",73227,0.01771918,71.32203940
557,"dormir",73064,0.01767974,71.33971914
558,"sitio",73036,0.01767296,71.35739210
559,"ayudar",72837,0.01762481,71.37501691
560,"conseguir",72697,0.01759093,71.39260784
561,"di",72555,0.01755657,71.41016441
562,"marido",72210,0.01747309,71.42763750
563,"paz",72000,0.01742228,71.44505978
564,"idiota",71856,0.01738743,71.46244721
565,"plan",71640,0.01733516,71.47978237
566,"dado",71249,0.01724055,71.49702293
567,"cuanto",71197,0.01722797,71.51425089
568,"peor",70692,0.01710577,71.53135666
569,"murió",70466,0.01705108,71.54840775
570,"pueblo",70465,0.01705084,71.56545859
571,"vivo",70329,0.01701793,71.58247652
572,"venido",70151,0.01697486,71.59945138
573,"john",69978,0.01693300,71.61638438
574,"basta",69973,0.01693179,71.63331617
575,"paso",69865,0.01690566,71.65022183
576,"deberíamos",69574,0.01683524,71.66705707
577,"música",69241,0.01675466,71.68381173
578,"diga",68941,0.01668207,71.70049380
579,"minuto",68878,0.01666683,71.71716063
580,"anoche",68870,0.01666489,71.73382552
581,"llamar",68861,0.01666271,71.75048823
582,"piensa",68552,0.01658794,71.76707617
583,"país",68539,0.01658480,71.78366097
584,"digas",68227,0.01650930,71.80017027
585,"rey",67803,0.01640670,71.81657697
586,"perdón",67516,0.01633725,71.83291423
587,"mucha",67426,0.01631548,71.84922970
588,"falta",67152,0.01624918,71.86547888
589,"pienso",67140,0.01624627,71.88172515
590,"diablos",67119,0.01624119,71.89796634
591,"perdido",66882,0.01618384,71.91415018
592,"niña",66672,0.01613303,71.93028321
593,"señorita",66491,0.01608923,71.94637244
594,"diez",66429,0.01607423,71.96244666
595,"lleva",66407,0.01606890,71.97851557
596,"hospital",66316,0.01604688,71.99456245
597,"grandes",66186,0.01601543,72.01057788
598,"maldito",66025,0.01597647,72.02655434
599,"otras",65924,0.01595203,72.04250637
600,"llamado",65650,0.01588573,72.05839210
601,"hacemos",65535,0.01585790,72.07425000
602,"llevar",65446,0.01583636,72.09008636
603,"fuego",65442,0.01583540,72.10592176
604,"aqui",65202,0.01577732,72.12169908
605,"tuvo",65130,0.01575990,72.13745898
606,"poner",64740,0.01566553,72.15312451
607,"calle",64675,0.01564980,72.16877431
608,"acaba",64600,0.01563165,72.18440596
609,"prueba",64593,0.01562996,72.20003592
610,"increíble",64527,0.01561399,72.21564991
611,"real",64511,0.01561012,72.23126003
612,"libro",64445,0.01559415,72.24685417
613,"orden",64437,0.01559221,72.26244638
614,"semanas",64300,0.01555906,72.27800544
615,"especial",64240,0.01554454,72.29354998
616,"mía",64132,0.01551841,72.30906839
617,"café",63914,0.01546566,72.32453405
618,"duro",63800,0.01543807,72.33997212
619,"empezar",63463,0.01535653,72.35532865
620,"afuera",63387,0.01533814,72.37066678
621,"queremos",63319,0.01532168,72.38598846
622,"perro",63070,0.01526143,72.40124989
623,"cielo",62981,0.01523989,72.41648978
624,"jack",62965,0.01523602,72.43172581
625,"puesto",62949,0.01523215,72.44695796
626,"viaje",62667,0.01516391,72.46212187
